FIPS,County,State,Population,Year,Total Votes,Democrat Votes,Republican Votes,Democrat %,Republican %,Winner,housing_Median Home Value,housing_% of National Median,housing_Price Category,age_Median Age,temp_Avg Temperature (°F),temp_Data Points,rent_Metro Area,rent_Median Rent,rent_Efficiency,rent_1BR,rent_2BR,rent_3BR,rent_4BR,rent_Entity ID
13139,Hall County,Georgia,208395,2023,101973,28347,72991,27.8,71.58,Republican,313600,182.0,Expensive,38.2,52.20,12,"Gainesville, GA MSA",1200,967,1062,1200,1521,1728,1313999999
13141,Hancock County,Georgia,8630,2023,4240,2864,1364,67.55,32.17,Democrat,87400,50.7,Affordable,47.3,48.26,12,"Hancock County, GA",772,648,684,772,1048,1315,1314199999
13143,Haralson County,Georgia,30720,2023,16364,2065,14239,12.62,87.01,Republican,210400,122.1,Moderate,38.8,47.48,12,"Haralson County, GA HUD Metro FMR Area",913,750,755,913,1298,1555,1314399999
13145,Harris County,Georgia,35509,2023,22353,5976,16283,26.73,72.84,Republican,278700,161.8,Expensive,43.3,52.60,12,"Columbus, GA-AL HUD Metro FMR Area",945,759,819,945,1276,1610,1314599999
13147,Hart County,Georgia,26484,2023,14331,3210,11064,22.4,77.2,Republican,206500,119.8,Moderate,44.7,48.20,12,"Hart County, GA",876,661,665,876,1066,1264,1314799999
13149,Heard County,Georgia,11616,2023,6210,859,5335,13.83,85.91,Republican,161000,93.4,Moderate,41.2,49.25,12,Georgia Non-Metro,840,649,704,840,1084,1258,1399999999
13151,Henry County,Georgia,245417,2023,129034,83253,44982,64.52,34.86,Democrat,277400,161.0,Expensive,37,48.70,12,Georgia Non-Metro,840,649,704,840,1084,1258,1399999999
13153,Houston County,Georgia,166902,2023,81514,35907,45090,44.05,55.32,Republican,205600,119.3,Moderate,36.2,52.04,12,"Warner Robins, GA HUD Metro FMR Area",1055,848,934,1055,1432,1692,1315399999
13155,Irwin County,Georgia,9385,2023,4342,986,3340,22.71,76.92,Republican,105300,61.1,Affordable,40.4,52.06,12,"Irwin County, GA",772,602,606,772,940,1123,1315599999
13157,Jackson County,Georgia,80640,2023,47243,10472,36497,22.17,77.25,Republican,312700,181.5,Expensive,38.1,51.36,12,"Jackson County, GA",909,686,691,909,1238,1351,1315799999
13159,Jasper County,Georgia,15345,2023,9118,1881,7203,20.63,79,Republican,219700,127.5,Moderate,43.1,52.79,12,Georgia Non-Metro,840,649,704,840,1084,1258,1399999999
13161,Jeff Davis County,Georgia,14838,2023,5872,924,4935,15.74,84.04,Republican,109300,63.4,Affordable,40.5,49.91,12,"Jeff Davis County, GA",772,602,606,772,940,1113,1316199999
13163,Jefferson County,Georgia,15468,2023,7463,3674,3765,49.23,50.45,Republican,93100,54.0,Affordable,40.7,52.90,12,"Jefferson County, GA",772,583,586,772,940,1315,1316399999
13165,Jenkins County,Georgia,8674,2023,3409,1179,2217,34.58,65.03,Republican,81100,47.1,Very Affordable,42.3,51.00,12,"Jenkins County, GA",772,602,606,772,1097,1123,1316599999
13167,Johnson County,Georgia,9192,2023,3984,1066,2913,26.76,73.12,Republican,91200,52.9,Affordable,44.1,48.22,12,"Johnson County, GA",772,648,684,772,1062,1123,1316799999
13169,Jones County,Georgia,28526,2023,16092,4959,11079,30.82,68.85,Republican,174600,101.3,Moderate,41.4,50.87,12,"Macon-Bibb County, GA HUD Metro FMR Area",969,719,838,969,1207,1302,1316999999
13171,Lamar County,Georgia,19098,2023,10412,2795,7575,26.84,72.75,Republican,201400,116.9,Moderate,38.7,50.42,12,"Lamar County, GA HUD Metro FMR Area",950,717,722,950,1256,1276,1317199999
13173,Lanier County,Georgia,10094,2023,3736,995,2726,26.63,72.97,Republican,161100,93.5,Moderate,36.7,52.35,12,"Valdosta, GA MSA",895,680,685,895,1219,1411,1317399999
13175,Laurens County,Georgia,49619,2023,23352,7820,15460,33.49,66.2,Republican,137400,79.7,Moderate,39.9,52.09,12,"Laurens County, GA",772,603,607,772,1064,1315,1317599999
13177,Lee County,Georgia,33337,2023,17683,4957,12655,28.03,71.57,Republican,226900,131.7,Moderate,37.2,52.91,12,"Albany, GA MSA",880,735,748,880,1153,1402,1317799999
13179,Liberty County,Georgia,66826,2023,23028,13459,9441,58.45,41,Democrat,180200,104.6,Moderate,28.7,52.69,12,"Hinesville, GA HUD Metro FMR Area",1072,928,949,1072,1524,1826,1317999999
13181,Lincoln County,Georgia,7773,2023,4931,1351,3559,27.4,72.18,Republican,163600,95.0,Moderate,48.3,52.63,12,"Lincoln County, GA HUD Metro FMR Area",790,584,693,790,1057,1061,1318199999
13183,Long County,Georgia,17512,2023,7056,2476,4557,35.09,64.58,Republican,196500,114.0,Moderate,33.6,52.05,12,"Long County, GA HUD Metro FMR Area",814,705,721,814,1150,1387,1318399999
13185,Lowndes County,Georgia,119055,2023,47795,19487,28081,40.77,58.75,Republican,197900,114.9,Moderate,31.3,52.68,12,"Valdosta, GA MSA",895,680,685,895,1219,1411,1318599999
13187,Lumpkin County,Georgia,33931,2023,17808,3356,14339,18.85,80.52,Republican,277200,160.9,Expensive,36.9,49.42,12,"Lumpkin County, GA",985,768,773,985,1236,1678,1318799999
13189,McDuffie County,Georgia,21687,2023,10537,3937,6562,37.36,62.28,Republican,155100,90.0,Moderate,39.1,47.57,12,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",1017,750,890,1017,1369,1675,1318999999
13191,McIntosh County,Georgia,11187,2023,7408,2628,4747,35.48,64.08,Republican,173900,100.9,Moderate,52.1,48.44,12,"Brunswick, GA MSA",998,810,815,998,1348,1633,1319199999
13193,Macon County,Georgia,11953,2023,4686,2755,1916,58.79,40.89,Democrat,87000,50.5,Affordable,39.9,50.27,12,"Macon County, GA",772,587,591,772,949,1315,1319399999
13195,Madison County,Georgia,30914,2023,16787,3753,12951,22.36,77.15,Republican,198800,115.4,Moderate,39.8,47.80,12,"Athens-Clarke County, GA MSA",995,825,877,995,1335,1517,1319599999
13197,Marion County,Georgia,7474,2023,3621,1253,2348,34.6,64.84,Republican,122100,70.9,Affordable,43.9,48.55,12,"Columbus, GA-AL HUD Metro FMR Area",945,759,819,945,1276,1610,1319799999
13199,Meriwether County,Georgia,20757,2023,11788,4373,7375,37.1,62.56,Republican,154600,89.7,Moderate,43.6,63.78,12,"Meriwether County, GA HUD Metro FMR Area",930,702,707,930,1206,1281,1319999999
13201,Miller County,Georgia,5873,2023,2724,670,2045,24.6,75.07,Republican,118300,68.7,Affordable,42.8,68.60,12,"Miller County, GA",772,648,684,772,1011,1141,1320199999
13205,Mitchell County,Georgia,21441,2023,8877,3701,5150,41.69,58.02,Republican,105500,61.2,Affordable,39.9,68.38,12,"Mitchell County, GA",772,648,684,772,940,1037,1320599999
13207,Monroe County,Georgia,28919,2023,17704,4689,12954,26.49,73.17,Republican,243200,141.1,Moderate,42.5,64.84,12,"Monroe County, GA HUD Metro FMR Area",859,649,761,859,1045,1463,1320799999
13209,Montgomery County,Georgia,8675,2023,3973,927,3033,23.33,76.34,Republican,118200,68.6,Affordable,38.2,67.15,12,"Montgomery County, GA",772,619,623,772,1097,1290,1320999999
13211,Morgan County,Georgia,20614,2023,13181,3533,9589,26.8,72.75,Republican,323100,187.5,Expensive,42.3,64.22,12,"Morgan County, GA HUD Metro FMR Area",1078,814,819,1078,1328,1836,1321199999
13213,Murray County,Georgia,40282,2023,17468,2459,14965,14.08,85.67,Republican,173300,100.6,Moderate,39.3,61.03,12,"Murray County, GA HUD Metro FMR Area",808,561,614,808,1088,1344,1321399999
13215,Muscogee County,Georgia,204383,2023,80491,49413,30616,61.39,38.04,Democrat,182300,105.8,Moderate,35.1,65.25,12,"Columbus, GA-AL HUD Metro FMR Area",945,759,819,945,1276,1610,1321599999
13217,Newton County,Georgia,115530,2023,59051,33839,24893,57.3,42.16,Democrat,233300,135.4,Moderate,36.4,63.96,12,Georgia Non-Metro,840,649,704,840,1084,1258,1399999999
13219,Oconee County,Georgia,42788,2023,27287,8620,18424,31.59,67.52,Republican,425100,246.7,Very Expensive,40.7,63.76,12,"Athens-Clarke County, GA MSA",995,825,877,995,1335,1517,1321999999
13221,Oglethorpe County,Georgia,15221,2023,8822,2515,6255,28.51,70.9,Republican,198700,115.3,Moderate,42.6,63.78,12,Georgia Non-Metro,840,649,704,840,1084,1258,1399999999
13223,Paulding County,Georgia,174292,2023,95196,35802,58769,37.61,61.73,Republican,289000,167.7,Expensive,36.7,62.46,12,Georgia Non-Metro,840,649,704,840,1084,1258,1399999999
13225,Peach County,Georgia,28269,2023,13454,6293,7104,46.77,52.8,Republican,186100,108.0,Moderate,37.8,65.85,12,"Peach County, GA HUD Metro FMR Area",882,590,670,882,1121,1234,1322599999
13227,Pickens County,Georgia,34197,2023,20915,3522,17281,16.84,82.62,Republican,289600,168.1,Expensive,46.1,60.20,12,Georgia Non-Metro,840,649,704,840,1084,1258,1399999999
13229,Pierce County,Georgia,19996,2023,9761,1089,8655,11.16,88.67,Republican,132100,76.7,Moderate,40.3,69.02,12,"Pierce County, GA",819,639,643,819,997,1119,1322999999
13231,Pike County,Georgia,19540,2023,12549,1648,10864,13.13,86.57,Republican,265700,154.2,Expensive,39.9,64.17,12,Georgia Non-Metro,840,649,704,840,1084,1258,1399999999
13233,Polk County,Georgia,43365,2023,19171,3749,15352,19.56,80.08,Republican,163500,94.9,Moderate,38.5,62.62,12,"Polk County, GA",826,623,628,826,1052,1110,1323399999
13235,Pulaski County,Georgia,9893,2023,4336,1281,3036,29.54,70.02,Republican,144300,83.7,Moderate,43.7,66.79,12,"Pulaski County, GA",772,623,627,772,1078,1123,1323599999
13237,Putnam County,Georgia,22524,2023,12877,3696,9136,28.7,70.95,Republican,222000,128.8,Moderate,47.4,64.85,12,"Putnam County, GA",916,715,719,916,1115,1560,1323799999
13239,Quitman County,Georgia,2092,2023,1140,480,656,42.11,57.54,Republican,103000,59.8,Affordable,59.4,66.59,12,"Quitman County, GA",772,602,606,772,940,1123,1323999999
13241,Rabun County,Georgia,17107,2023,10423,2222,8151,21.32,78.2,Republican,272600,158.2,Expensive,49.9,58.05,12,"Rabun County, GA",850,641,646,850,1060,1376,1324199999
13243,Randolph County,Georgia,6270,2023,2990,1601,1373,53.55,45.92,Democrat,90900,52.8,Affordable,37.6,66.85,12,"Randolph County, GA",772,602,606,772,982,1037,1324399999
13245,Richmond County,Georgia,206040,2023,83578,56657,26472,67.79,31.67,Democrat,163300,94.8,Moderate,35,65.06,12,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",1017,750,890,1017,1369,1675,1324599999
13247,Rockdale County,Georgia,94293,2023,45160,33165,11711,73.44,25.93,Democrat,256600,148.9,Moderate,39.2,63.78,12,Georgia Non-Metro,840,649,704,840,1084,1258,1399999999
13249,Schley County,Georgia,4539,2023,2428,453,1970,18.66,81.14,Republican,152900,88.7,Moderate,41.6,66.04,12,"Schley County, GA",772,602,606,772,1087,1123,1324999999
13251,Screven County,Georgia,14057,2023,6920,2581,4325,37.3,62.5,Republican,122300,71.0,Affordable,42.7,66.29,12,"Screven County, GA",772,583,586,772,1091,1123,1325199999
13253,Seminole County,Georgia,9117,2023,4007,1191,2811,29.72,70.15,Republican,111600,64.8,Affordable,45.7,69.00,12,"Seminole County, GA",823,643,646,823,1066,1329,1325399999
13255,Spalding County,Georgia,68215,2023,33038,13679,19184,41.4,58.07,Republican,196600,114.1,Moderate,39.2,64.27,12,Georgia Non-Metro,840,649,704,840,1084,1258,1399999999
13257,Stephens County,Georgia,26842,2023,13099,2404,10632,18.35,81.17,Republican,168200,97.6,Moderate,41.2,61.87,12,"Stephens County, GA",822,620,624,822,1071,1315,1325799999
13259,Stewart County,Georgia,4978,2023,2028,1177,847,58.04,41.77,Democrat,53000,30.8,Very Affordable,36.7,65.94,12,"Stewart County, GA HUD Metro FMR Area",772,583,586,772,940,1109,1325999999
13261,Sumter County,Georgia,29174,2023,12049,6136,5869,50.93,48.71,Democrat,122300,71.0,Affordable,37,67.03,12,"Sumter County, GA",815,615,619,815,992,1188,1326199999
13263,Talbot County,Georgia,5753,2023,3379,1888,1483,55.87,43.89,Democrat,127200,73.8,Affordable,50.5,64.47,12,"Talbot County, GA HUD Metro FMR Area",772,621,669,772,1015,1315,1326399999
13265,Taliaferro County,Georgia,1740,2023,884,507,375,57.35,42.42,Democrat,73100,42.4,Very Affordable,44.8,64.14,12,"Taliaferro County, GA",772,602,606,772,940,1123,1326599999
13267,Tattnall County,Georgia,24215,2023,8512,1967,6515,23.11,76.54,Republican,122400,71.0,Affordable,38.1,67.79,12,"Tattnall County, GA",772,648,676,772,1097,1315,1326799999
13269,Taylor County,Georgia,7786,2023,3982,1366,2600,34.3,65.29,Republican,82900,48.1,Very Affordable,42.9,65.31,12,"Taylor County, GA",772,516,606,772,964,1127,1326999999
13271,Telfair County,Georgia,12174,2023,4214,1274,2930,30.23,69.53,Republican,108200,62.8,Affordable,39.4,67.18,12,"Telfair County, GA",772,516,606,772,940,1037,1327199999
13273,Terrell County,Georgia,8941,2023,4341,2253,2075,51.9,47.8,Democrat,111500,64.7,Affordable,41.4,67.43,12,"Albany, GA MSA",880,735,748,880,1153,1402,1327399999
13275,Thomas County,Georgia,45696,2023,22080,8347,13670,37.8,61.91,Republican,185300,107.5,Moderate,39.9,68.52,12,"Thomas County, GA",943,765,769,943,1215,1373,1327599999
13277,Tift County,Georgia,41322,2023,16989,5438,11496,32.01,67.67,Republican,143100,83.1,Moderate,37.3,67.13,12,"Tift County, GA",772,648,655,772,1016,1194,1327799999
13279,Toombs County,Georgia,26943,2023,10912,2674,8208,24.51,75.22,Republican,127100,73.8,Affordable,37.2,67.45,12,"Toombs County, GA",772,583,586,772,1084,1266,1327999999
13281,Towns County,Georgia,12739,2023,8838,1649,7155,18.66,80.96,Republican,311900,181.0,Expensive,56.9,57.33,12,"Towns County, GA",801,673,687,801,1138,1364,1328199999
13283,Treutlen County,Georgia,6387,2023,3121,864,2250,27.68,72.09,Republican,98400,57.1,Affordable,39.6,66.75,12,"Treutlen County, GA",772,583,586,772,1059,1065,1328399999
13285,Troup County,Georgia,69821,2023,31304,11757,19392,37.56,61.95,Republican,187800,109.0,Moderate,37.2,63.70,12,"Troup County, GA",932,703,708,932,1216,1323,1328599999
13287,Turner County,Georgia,8915,2023,3833,1365,2457,35.61,64.1,Republican,95200,55.3,Affordable,37.4,67.11,12,"Turner County, GA",772,602,606,772,940,1037,1328799999
13289,Twiggs County,Georgia,7869,2023,4456,1895,2549,42.53,57.2,Republican,104500,60.7,Affordable,47.2,66.11,12,"Macon-Bibb County, GA HUD Metro FMR Area",969,719,838,969,1207,1302,1328999999
13291,Union County,Georgia,25598,2023,17880,3309,14477,18.51,80.97,Republican,272600,158.2,Expensive,55.9,57.37,12,"Union County, GA",772,602,606,772,1097,1315,1329199999
13293,Upson County,Georgia,27856,2023,13662,4098,9528,30,69.74,Republican,149500,86.8,Moderate,41.4,64.59,12,"Upson County, GA",772,516,674,772,1054,1093,1329399999
13295,Walker County,Georgia,68449,2023,32086,6436,25462,20.06,79.36,Republican,173900,100.9,Moderate,41.8,61.65,12,"Chattanooga, TN-GA MSA",1067,910,919,1067,1372,1619,1329599999
13297,Walton County,Georgia,100361,2023,58376,15605,42407,26.73,72.64,Republican,300500,174.4,Expensive,39.7,63.46,12,Georgia Non-Metro,840,649,704,840,1084,1258,1399999999
13299,Ware County,Georgia,35958,2023,14392,4068,10279,28.27,71.42,Republican,106500,61.8,Affordable,38,69.26,12,"Ware County, GA",815,615,619,815,992,1239,1329999999
13301,Warren County,Georgia,5175,2023,2592,1354,1232,52.24,47.53,Democrat,78000,45.3,Very Affordable,45.3,64.21,12,"Warren County, GA",772,583,586,772,1005,1315,1330199999
13303,Washington County,Georgia,19893,2023,9493,4643,4824,48.91,50.82,Republican,115600,67.1,Affordable,40.6,65.70,12,"Washington County, GA",772,648,684,772,1046,1204,1330399999
13305,Wayne County,Georgia,30519,2023,13561,2708,10811,19.97,79.72,Republican,149800,86.9,Moderate,38.9,68.68,12,"Wayne County, GA",772,583,586,772,970,1241,1330599999
13307,Webster County,Georgia,2348,2023,1336,544,790,40.72,59.13,Republican,92200,53.5,Affordable,42.8,66.23,12,"Webster County, GA",772,602,606,772,988,1123,1330799999
13309,Wheeler County,Georgia,7434,2023,2276,622,1648,27.33,72.41,Republican,74600,43.3,Very Affordable,39.5,67.13,12,"Wheeler County, GA",872,583,685,872,1061,1171,1330999999
13311,White County,Georgia,28454,2023,16825,2609,14136,15.51,84.02,Republican,262200,152.2,Expensive,45.4,59.72,12,"White County, GA",878,737,777,878,1093,1222,1331199999
13313,Whitfield County,Georgia,103118,2023,39828,10953,28655,27.5,71.95,Republican,198900,115.4,Moderate,36.6,61.88,12,"Dalton, GA HUD Metro FMR Area",862,590,655,862,1138,1159,1331399999
13315,Wilcox County,Georgia,8784,2023,3347,847,2493,25.31,74.48,Republican,71200,41.3,Very Affordable,41.3,67.10,12,"Wilcox County, GA",772,602,606,772,1097,1123,1331599999
13317,Wilkes County,Georgia,9553,2023,5098,2112,2971,41.43,58.28,Republican,105000,60.9,Affordable,46.3,63.95,12,"Wilkes County, GA",797,601,605,797,1045,1071,1331799999
13319,Wilkinson County,Georgia,8795,2023,4908,2012,2888,40.99,58.84,Republican,90800,52.7,Affordable,43.2,66.16,12,"Wilkinson County, GA",772,648,684,772,943,1037,1331999999
13321,Worth County,Georgia,20575,2023,9309,2300,6991,24.71,75.1,Republican,112400,65.2,Affordable,43,67.53,12,"Albany, GA MSA",880,735,748,880,1153,1402,1332199999
15001,Hawaii County,Hawaii,203684,2023,82823,52163,28748,62.98,34.71,Democrat,486400,282.3,Very Expensive,44.1,58.01,12,"Hawaii County, HI",1656,1116,1263,1656,2131,2250,1500199999
15003,Honolulu County,Hawaii,1003666,2023,340921,204301,130489,59.93,38.28,Democrat,873000,506.7,Very Expensive,39.4,59.37,12,Hawaii Non-Metro,1875,1449,1571,1875,2419,2807,1599999999
15005,Kalawao County,Hawaii,43,2023,27,17,10,60.90,37.10,Democrat,650000,,,39.9,57.49,12,"Kalawao County, HI",1717,1148,1304,1717,2224,2450,1500599999
15007,Kauai County,Hawaii,73610,2023,30064,17675,11803,58.79,39.26,Democrat,817900,474.7,Very Expensive,42.7,60.34,12,"Kauai County, HI",2148,1436,1632,2148,2883,3509,1500799999
15009,Maui County,Hawaii,164632,2023,62893,38905,22621,61.86,35.97,Democrat,858600,498.3,Very Expensive,42.9,58.90,12,"Kahului-Wailuku-Lahaina, HI MSA",1986,1532,1606,1986,2731,2944,1500999999
16001,Ada County,Idaho,508052,2023,267340,116116,143759,43.43,53.77,Republican,476000,276.3,Very Expensive,38.3,70.89,12,"Boise City, ID HUD Metro FMR Area",1310,929,1059,1310,1841,2159,1600199999
16003,Adams County,Idaho,4599,2023,2679,577,2037,21.54,76.04,Republican,327300,190.0,Expensive,54.3,70.14,12,"Adams County, ID",860,655,679,860,1166,1458,1600399999
16005,Bannock County,Idaho,88457,2023,39971,14306,24329,35.79,60.87,Republican,267200,155.1,Expensive,35,71.37,12,"Pocatello, ID HUD Metro FMR Area",896,599,681,896,1273,1526,1600599999
16007,Bear Lake County,Idaho,6552,2023,3325,346,2908,10.41,87.46,Republican,234200,135.9,Moderate,40.2,71.58,12,"Bear Lake County, ID",826,629,633,826,1174,1407,1600799999
16009,Benewah County,Idaho,9913,2023,5144,935,4094,18.18,79.59,Republican,255800,148.5,Moderate,46,69.31,12,"Benewah County, ID",952,637,723,952,1276,1447,1600999999
16011,Bingham County,Idaho,48993,2023,20643,3878,16188,18.79,78.42,Republican,258000,149.7,Moderate,34.8,70.32,12,"Bingham County, ID",833,629,633,833,1184,1342,1601199999
16013,Blaine County,Idaho,24579,2023,13087,8424,4281,64.37,32.71,Democrat,663800,385.3,Very Expensive,45.5,67.48,12,"Blaine County, ID",1207,807,917,1207,1615,1621,1601399999
16015,Boise County,Idaho,8045,2023,4910,1065,3727,21.69,75.91,Republican,424100,246.1,Very Expensive,53.5,67.40,12,"Boise City, ID HUD Metro FMR Area",1310,929,1059,1310,1841,2159,1601599999
16017,Bonner County,Idaho,49456,2023,29698,7650,21352,25.76,71.9,Republican,433400,251.5,Very Expensive,48.2,67.80,12,"Bonner County, ID",955,761,766,955,1357,1627,1601799999
16019,Bonneville County,Idaho,127056,2023,56419,14458,40053,25.63,70.99,Republican,327000,189.8,Expensive,33.3,71.16,12,"Idaho Falls, ID HUD Metro FMR Area",979,670,796,979,1391,1668,1601999999
16021,Boundary County,Idaho,12695,2023,7110,1145,5794,16.1,81.49,Republican,344100,199.7,Expensive,42.8,68.08,12,"Boundary County, ID",846,638,643,846,1202,1312,1602199999
16023,Butte County,Idaho,2654,2023,1494,185,1268,12.38,84.87,Republican,195800,113.6,Moderate,39.2,71.68,12,"Butte County, ID HUD Metro FMR Area",913,620,742,913,1294,1555,1602399999
16025,Camas County,Idaho,1155,2023,728,153,547,21.02,75.14,Republican,248900,144.5,Moderate,34.9,68.67,12,"Camas County, ID",898,683,688,898,1276,1523,1602599999
16027,Canyon County,Idaho,242405,2023,101001,25669,72755,25.41,72.03,Republican,350300,203.3,Very Expensive,34.8,66.18,12,"Boise City, ID HUD Metro FMR Area",1310,929,1059,1310,1841,2159,1602799999
16029,Caribou County,Idaho,7118,2023,3456,445,2906,12.88,84.09,Republican,220200,127.8,Moderate,38,68.80,12,"Caribou County, ID",837,632,636,837,1155,1322,1602999999
16031,Cassia County,Idaho,25165,2023,9557,1359,7959,14.22,83.28,Republican,257300,149.3,Moderate,33.1,68.01,12,"Cassia County, ID",843,642,647,843,1198,1263,1603199999
16033,Clark County,Idaho,776,2023,333,50,280,15.02,84.08,Republican,203000,117.8,Moderate,33.4,71.12,12,"Clark County, ID",898,683,688,898,1276,1523,1603399999
16035,Clearwater County,Idaho,8921,2023,4418,774,3550,17.52,80.35,Republican,240800,139.8,Moderate,52,67.49,12,"Clearwater County, ID",895,675,680,895,1272,1524,1603599999
16037,Custer County,Idaho,4411,2023,2650,586,1998,22.11,75.4,Republican,295600,171.6,Expensive,59.5,70.03,12,"Custer County, ID",889,677,681,889,1263,1508,1603799999
16039,Elmore County,Idaho,29046,2023,10672,2611,7791,24.47,73,Republican,278300,161.5,Expensive,32.5,69.91,12,"Elmore County, ID",950,718,723,950,1350,1573,1603999999
16041,Franklin County,Idaho,14715,2023,7184,703,6279,9.79,87.4,Republican,304000,176.4,Expensive,32.5,68.36,12,"Logan, UT-ID MSA",932,629,748,932,1325,1588,1604199999
16043,Fremont County,Idaho,13701,2023,6803,954,5645,14.02,82.98,Republican,281800,163.6,Expensive,39.9,68.70,12,"Fremont County, ID",826,582,731,826,1174,1407,1604399999
16045,Gem County,Idaho,19854,2023,10620,1699,8707,16,81.99,Republican,367300,213.2,Very Expensive,42.8,71.61,12,"Gem County, ID HUD Metro FMR Area",1082,770,822,1082,1447,1635,1604599999
16047,Gooding County,Idaho,15740,2023,5918,1100,4676,18.59,79.01,Republican,231800,134.5,Moderate,38.4,71.33,12,"Gooding County, ID",907,690,699,907,1193,1430,1604799999
16049,Idaho County,Idaho,17120,2023,9858,1460,8148,14.81,82.65,Republican,284600,165.2,Expensive,49.6,67.30,12,"Idaho County, ID",944,631,717,944,1227,1586,1604999999
16051,Jefferson County,Idaho,32234,2023,15819,1891,13481,11.95,85.22,Republican,335000,194.4,Expensive,32.3,72.31,12,"Idaho Falls, ID HUD Metro FMR Area",979,670,796,979,1391,1668,1605199999
16053,Jerome County,Idaho,24788,2023,7945,1742,6012,21.93,75.67,Republican,254000,147.4,Moderate,33.6,70.85,12,"Jerome County, ID HUD Metro FMR Area",996,666,757,996,1391,1647,1605399999
16055,Kootenai County,Idaho,177736,2023,96340,22113,72059,22.95,74.8,Republican,467400,271.3,Very Expensive,40.8,71.30,12,"Coeur d'Alene, ID MSA",1228,838,1007,1228,1745,2092,1605599999
16057,Latah County,Idaho,40315,2023,20440,9039,10669,44.22,52.2,Republican,342500,198.8,Expensive,30.7,72.27,12,"Latah County, ID",863,619,680,863,1226,1470,1605799999
16059,Lemhi County,Idaho,8166,2023,4873,1038,3716,21.3,76.26,Republican,282100,163.7,Expensive,53.1,68.65,12,"Lemhi County, ID",844,637,641,844,1142,1431,1605999999
16061,Lewis County,Idaho,3649,2023,1843,305,1503,16.55,81.55,Republican,202400,117.5,Moderate,48.9,66.73,12,"Lewis County, ID",826,629,639,826,1174,1401,1606199999
16063,Lincoln County,Idaho,5276,2023,1917,392,1466,20.45,76.47,Republican,206700,120.0,Moderate,37.2,70.97,12,"Lincoln County, ID",826,629,663,826,1174,1388,1606399999
16065,Madison County,Idaho,53578,2023,17358,2767,13925,15.94,80.22,Republican,365000,211.8,Very Expensive,21.4,68.05,12,"Madison County, ID",930,805,806,930,1322,1584,1606599999
16067,Minidoka County,Idaho,21922,2023,7947,1373,6401,17.28,80.55,Republican,235300,136.6,Moderate,34.5,66.96,12,"Minidoka County, ID",831,632,691,831,1181,1409,1606799999
16069,Nez Perce County,Idaho,42477,2023,20132,5928,13707,29.45,68.09,Republican,291300,169.1,Expensive,40.9,68.75,12,"Lewiston, ID-WA MSA",1008,674,784,1008,1433,1717,1606999999
16071,Oneida County,Idaho,4681,2023,2457,253,2119,10.3,86.24,Republican,228100,132.4,Moderate,40.2,72.02,12,Idaho Non-Metro,840,649,704,840,1084,1258,1699999999
16073,Owyhee County,Idaho,12284,2023,4950,756,4101,15.27,82.85,Republican,281600,163.4,Expensive,38.3,67.26,12,"Boise City, ID HUD Metro FMR Area",1310,929,1059,1310,1841,2159,1607399999
16075,Payette County,Idaho,26190,2023,11760,2064,9458,17.55,80.43,Republican,310700,180.3,Expensive,38.8,72.58,12,"Payette County, ID",930,702,707,930,1284,1385,1607599999
16077,Power County,Idaho,8018,2023,3019,785,2146,26,71.08,Republican,191200,111.0,Moderate,33.9,70.47,12,"Power County, ID HUD Metro FMR Area",875,585,665,875,1244,1490,1607799999
16079,Shoshone County,Idaho,13580,2023,6130,1472,4500,24.01,73.41,Republican,222700,129.3,Moderate,45.1,69.34,12,"Shoshone County, ID",855,572,663,855,1199,1456,1607999999
16081,Teton County,Idaho,12101,2023,6698,3463,3005,51.7,44.86,Democrat,595900,345.9,Very Expensive,39.8,68.11,12,"Teton County, ID",1081,896,901,1081,1536,1841,1608199999
16083,Twin Falls County,Idaho,92121,2023,37373,9064,27304,24.25,73.06,Republican,292700,169.9,Expensive,35.8,67.79,12,"Twin Falls County, ID HUD Metro FMR Area",1003,671,762,1003,1401,1659,1608399999
16085,Valley County,Idaho,12136,2023,7240,2869,4214,39.63,58.2,Republican,599500,347.9,Very Expensive,49,68.77,12,"Valley County, ID",935,712,828,935,1225,1586,1608599999
16087,Washington County,Idaho,10866,2023,5553,1010,4429,18.19,79.76,Republican,250300,145.3,Moderate,44.6,72.03,12,"Washington County, ID",940,709,714,940,1190,1360,1608799999
17001,Adams County,Illinois,65166,2023,31744,8111,23161,25.55,72.96,Republican,155900,90.5,Moderate,41.1,47.69,12,"Adams County, IL",837,569,636,837,1063,1124,1700199999
17003,Alexander County,Illinois,5042,2023,2271,904,1341,39.81,59.05,Republican,58700,34.1,Very Affordable,45.8,42.02,12,"Cape Girardeau, MO-IL MSA",871,597,680,871,1238,1372,1700399999
17005,Bond County,Illinois,16627,2023,7981,2117,5692,26.53,71.32,Republican,133100,77.2,Moderate,40.4,47.85,12,"Bond County, IL HUD Metro FMR Area",774,518,670,774,1030,1169,1700599999
17007,Boone County,Illinois,53316,2023,24216,10159,13673,41.95,56.46,Republican,198600,115.3,Moderate,39.5,42.83,12,"Rockford, IL MSA",935,625,710,935,1262,1309,1700799999
